id,label
0,3
1,4
2,3
3,3
4,6
5,5
6,0
7,2
8,4
9,6
10,3
11,3
12,3
13,6
14,0
15,3
16,6
17,6
18,0
19,6
20,4
21,3
22,4
23,4
24,0
25,5
26,3
27,6
28,0
29,5
30,4
31,5
32,6
33,3
34,2
35,0
36,4
37,3
38,0
39,4
40,5
41,5
42,4
43,3
44,4
45,4
46,2
47,2
48,3
49,3
50,6
51,2
52,4
53,4
54,1
55,6
56,5
57,3
58,6
59,5
60,6
61,4
62,4
63,4
64,5
65,0
66,5
67,2
68,0
69,2
70,6
71,0
72,6
73,4
74,5
75,3
76,3
77,4
78,3
79,0
80,0
81,3
82,2
83,3
84,3
85,6
86,5
87,3
88,3
89,5
90,6
91,4
92,4
93,0
94,4
95,6
96,0
97,3
98,5
99,4
100,4
101,3
102,3
103,3
104,4
105,3
106,5
107,3
108,6
109,4
110,3
111,2
112,3
113,2
114,0
115,3
116,4
117,0
118,3
119,5
120,0
121,3
122,4
123,6
124,3
125,2
126,2
127,3
128,6
129,6
130,6
131,3
132,3
133,4
134,0
135,3
136,6
137,0
138,0
139,2
140,2
141,3
142,6
143,5
144,6
145,4
146,4
147,4
148,2
149,6
150,3
151,3
152,5
153,4
154,4
155,4
156,0
157,6
158,6
159,5
160,6
161,6
162,0
163,2
164,6
165,2
166,6
167,2
168,6
169,2
170,0
171,2
172,4
173,3
174,6
175,4
176,6
177,6
178,3
179,2
180,0
181,3
182,6
183,4
184,6
185,4
186,4
187,0
188,4
189,2
190,5
191,0
192,4
193,2
194,2
195,6
196,4
197,4
198,3
199,6
200,4
201,5
202,3
203,3
204,3
205,4
206,4
207,6
208,3
209,6
210,6
211,0
212,0
213,2
214,6
215,6
216,3
217,5
218,4
219,5
220,2
221,6
222,0
223,6
224,3
225,0
226,0
227,5
228,4
229,0
230,0
231,6
232,6
233,3
234,0
235,0
236,3
237,3
238,0
239,3
240,5
241,5
242,2
243,3
244,3
245,0
246,6
247,3
248,3
249,6
250,3
251,0
252,5
253,6
254,6
255,6
256,5
257,6
258,3
259,6
260,5
261,6
262,6
263,5
264,5
265,4
266,5
267,2
268,3
269,5
270,3
271,3
272,3
273,6
274,4
275,6
276,6
277,0
278,5
279,0
280,1
281,5
282,1
283,3
284,4
285,0
286,0
287,4
288,3
289,5
290,4
291,3
292,3
293,2
294,3
295,3
296,4
297,6
298,0
299,0
300,5
301,4
302,4
303,3
304,5
305,3
306,2
307,3
308,0
309,2
310,6
311,5
312,3
313,6
314,0
315,0
316,0
317,5
318,0
319,0
320,4
321,4
322,3
323,4
324,6
325,3
326,6
327,6
328,0
329,6
330,3
331,6
332,0
333,0
334,4
335,3
336,4
337,6
338,0
339,3
340,3
341,0
342,3
343,3
344,3
345,3
346,6
347,4
348,6
349,0
350,0
351,6
352,4
353,4
354,3
355,5
356,6
357,2
358,2
359,3
360,3
361,5
362,5
363,6
364,2
365,5
366,3
367,4
368,1
369,3
370,3
371,1
372,4
373,3
374,6
375,5
376,6
377,0
378,3
379,6
380,4
381,2
382,6
383,2
384,5
385,3
386,3
387,5
388,0
389,0
390,4
391,5
392,6
393,3
394,6
395,6
396,3
397,0
398,6
399,1
400,3
401,6
402,6
403,4
404,4
405,5
406,0
407,3
408,0
409,3
410,4
411,6
412,4
413,6
414,0
415,0
416,5
417,0
418,3
419,3
420,4
421,3
422,0
423,6
424,5
425,4
426,6
427,6
428,6
429,6
430,3
431,4
432,6
433,3
434,4
435,6
436,0
437,1
438,4
439,3
440,3
441,4
442,6
443,3
444,6
445,2
446,0
447,0
448,6
449,6
450,3
451,5
452,4
453,5
454,6
455,6
456,3
457,0
458,3
459,2
460,3
461,0
462,0
463,6
464,3
465,2
466,2
467,2
468,3
469,3
470,4
471,6
472,2
473,0
474,3
475,5
476,0
477,5
478,0
479,6
480,0
481,3
482,4
483,2
484,4
485,4
486,6
487,3
488,6
489,2
490,4
491,4
492,2
493,2
494,2
495,4
496,4
497,5
498,0
499,4
500,4
501,0
502,3
503,0
504,2
505,3
506,5
507,3
508,6
509,6
510,5
511,6
512,6
513,3
514,6
515,0
516,0
517,2
518,0
519,1
520,3
521,6
522,6
523,1
524,2
525,4
526,6
527,4
528,4
529,4
530,5
531,2
532,6
533,0
534,3
535,3
536,0
537,2
538,6
539,4
540,2
541,6
542,6
543,2
544,6
545,0
546,6
547,3
548,1
549,6
550,3
551,3
552,2
553,2
554,3
555,6
556,3
557,5
558,2
559,3
560,5
561,3
562,2
563,3
564,4
565,4
566,0
567,4
568,4
569,6
570,3
571,0
572,2
573,5
574,3
575,5
576,5
577,6
578,5
579,0
580,0
581,3
582,4
583,5
584,6
585,3
586,4
587,4
588,0
589,4
590,2
591,0
592,5
593,6
594,0
595,3
596,4
597,6
598,6
599,6
600,6
601,3
602,2
603,6
604,6
605,0
606,6
607,0
608,6
609,4
610,5
611,6
612,5
613,3
614,6
615,2
616,4
617,3
618,2
619,5
620,6
621,3
622,2
623,2
624,2
625,6
626,6
627,3
628,4
629,5
630,5
631,3
632,6
633,3
634,3
635,2
636,4
637,0
638,4
639,5
640,3
641,3
642,6
643,3
644,6
645,0
646,4
647,3
648,3
649,4
650,6
651,2
652,5
653,5
654,6
655,2
656,0
657,2
658,0
659,6
660,2
661,6
662,3
663,2
664,3
665,4
666,0
667,2
668,4
669,6
670,2
671,2
672,4
673,3
674,3
675,3
676,2
677,0
678,2
679,3
680,2
681,3
682,6
683,4
684,4
685,3
686,3
687,3
688,4
689,3
690,6
691,3
692,4
693,3
694,0
695,5
696,0
697,0
698,0
699,5
700,6
701,5
702,2
703,5
704,3
705,0
706,3
707,4
708,2
709,2
710,2
711,3
712,5
713,5
714,0
715,0
716,0
717,2
718,6
719,3
720,3
721,4
722,5
723,2
724,3
725,5
726,3
727,0
728,3
729,6
730,0
731,2
732,5
733,2
734,0
735,3
736,3
737,0
738,3
739,3
740,5
741,0
742,6
743,6
744,4
745,3
746,5
747,3
748,4
749,3
750,4
751,0
752,0
753,0
754,4
755,6
756,6
757,4
758,3
759,3
760,6
761,6
762,3
763,6
764,6
765,2
766,3
767,5
768,6
769,4
770,3
771,3
772,3
773,0
774,2
775,3
776,2
777,3
778,3
779,4
780,2
781,0
782,2
783,6
784,6
785,4
786,2
787,3
788,3
789,2
790,6
791,3
792,2
793,3
794,3
795,3
796,3
797,2
798,0
799,6
800,0
801,4
802,3
803,6
804,3
805,2
806,4
807,6
808,4
809,2
810,0
811,5
812,3
813,2
814,2
815,4
816,3
817,5
818,2
819,3
820,6
821,3
822,3
823,3
824,3
825,3
826,6
827,0
828,2
829,3
830,2
831,6
832,6
833,3
834,3
835,0
836,4
837,3
838,4
839,6
840,6
841,3
842,2
843,6
844,6
845,3
846,3
847,4
848,4
849,3
850,6
851,2
852,5
853,6
854,2
855,1
856,2
857,5
858,3
859,5
860,3
861,0
862,6
863,0
864,3
865,6
866,6
867,4
868,0
869,6
870,4
871,6
872,6
873,2
874,6
875,5
876,3
877,6
878,6
879,0
880,2
881,4
882,3
883,4
884,2
885,0
886,3
887,6
888,4
889,4
890,0
891,0
892,2
893,3
894,5
895,3
896,6
897,2
898,6
899,6
900,3
901,3
902,4
903,3
904,0
905,6
906,3
907,2
908,3
909,6
910,5
911,6
912,4
913,6
914,2
915,6
916,3
917,3
918,2
919,0
920,3
921,4
922,2
923,4
924,4
925,2
926,3
927,4
928,4
929,6
930,6
931,6
932,0
933,0
934,2
935,3
936,0
937,3
938,3
939,2
940,6
941,3
942,4
943,3
944,6
945,4
946,3
947,4
948,0
949,3
950,2
951,4
952,0
953,4
954,6
955,3
956,2
957,3
958,0
959,1
960,3
961,5
962,6
963,3
964,5
965,6
966,2
967,4
968,3
969,2
970,2
971,6
972,5
